date,year,month,city_tax_collections_non_vehicle_sales,city_vehicle_sales_tax_collections,city_total_tax_collections,parish_tax_collections_non_vehicle_sales_taxes,parish_vehicle_tax_collections,parish_total_tax_collections,city_parish_total_non_vehicle_sales_taxes,city_parish_vehicle_sales_tax_collections,city_parish_total_tax_collections
2023-11-01,2023,November,10018399,622839,10641238,8320041,862731,9182772,18338440,1485570,19824010
2023-12-01,2023,December,11923451,654446,12577897,9341212,780347,10121559,21264663,1434793,22699456
2024-01-01,2024,January,9534445,748748,10283193,7905745,923800,8829545,17440190,1672548,19112738
2024-02-01,2024,February,9989367,615460,10604827,8176885,886606,9063491,18166252,1502066,19668318
2024-03-01,2024,March,11205986,654682,11860668,8652355,939083,9591438,19858341,1593765,21452106
2024-04-01,2024,April,10619885,848821,11468706,8513883,1083797,9597680,19133768,1932618,21066386
2024-05-01,2024,May,10499049,863411,11362460,8477550,1066344,9543894,18976599,1929755,20906354
2024-06-01,2024,June,10371824,744807,11116631,8495361,900637,9395998,18867185,1645444,20512629
2024-07-01,2024,July,10404715,746061,11150776,8378217,957946,9336163,18782932,1704007,20486939
2024-08-01,2024,August,10740741,862654,11603395,8240812,960219,9201031,18981553,1822873,20804426
2024-09-01,2024,September,10682429,697088,11379517,7858662,884657,8743319,18541091,1581745,20122836
2024-10-01,2024,October,11101426,783855,11885281,8876634,978607,9855241,19978060,1762462,21740522
2024-11-01,2024,November,10897794,645449,11543243,7868729,841560,8710289,18766523,1487009,20253532
2024-12-01,2024,December,12585566,713866,13299432,8964688,900102,9864790,21550254,1613968,23164222
2025-01-01,2025,January,10806003,779656,11585659,7435602,942291,8377893,18241605,1721947,19963552
2025-02-01,2025,February,10961466,698828,11660294,7407396,920434,8327830,18368862,1619262,19988124
2025-03-01,2025,March,12155316,733350,12888666,8721414,909771,9631185,20876730,1643121,22519851
2025-04-01,2025,April,10979126,851908,11831034,5325404,744176,6069580,16304530,1596084,17900614
2025-05-01,2025,May,11619435,740289,12359724,4978263,478878,5457141,16597698,1219167,17816865
2025-06-01,2025,June,11583879,797393,12381272,4433331,445834,4879165,16017210,1243227,17260437
2025-07-01,2025,July,11718497,749195,12467692,4924906,367956,5292862,16643403,1117151,17760554
